id_match,team_name
match152,SD Eibar
match152,Valencia CF
match153,Getafe CF
match153,Real Sociedad
match154,Real Madrid
match154,Rayo Vallecano
match155,R. Valladolid CF
match155,Atlético de Madrid
match156,RCD Espanyol
match156,Real Betis
match157,SD Huesca
match157,Villarreal CF
match158,Levante UD
match158,FC Barcelona
match159,Sevilla FC
match159,Girona FC
match160,D. Alavés
match160,Athletic Club
match161,Girona FC
match161,Getafe CF
match162,Real Sociedad
match162,D. Alavés
match163,Athletic Club
match163,R. Valladolid CF
match164,Atlético de Madrid
match164,RCD Espanyol
match165,FC Barcelona
match165,RC Celta
match166,Real Betis
match166,SD Eibar
match167,CD Leganés
match167,Sevilla FC
match168,Valencia CF
match168,SD Huesca
match169,Rayo Vallecano
match169,Levante UD
match170,Villarreal CF
match170,Real Madrid
match171,RCD Espanyol
match171,CD Leganés
match172,Levante UD
match172,Girona FC
match173,D. Alavés
match173,Valencia CF
match174,SD Huesca
match174,Real Betis
match175,R. Valladolid CF
match175,Rayo Vallecano
match176,SD Eibar
match176,Villarreal CF
match177,Getafe CF
match177,FC Barcelona
match178,Real Madrid
match178,Real Sociedad
match179,Sevilla FC
match179,Atlético de Madrid
match180,RC Celta
match180,Athletic Club
match181,Rayo Vallecano
match181,RC Celta
match182,Girona FC
match182,D. Alavés
match183,CD Leganés
match183,SD Huesca
match184,Valencia CF
match184,R. Valladolid CF
match185,Villarreal CF
match185,Getafe CF
match186,Athletic Club
match186,Sevilla FC
match187,Atlético de Madrid
match187,Levante UD
match188,FC Barcelona
match188,SD Eibar
match189,Real Betis
match189,Real Madrid
match190,Real Sociedad
match190,RCD Espanyol
match191,Getafe CF
match191,D. Alavés
match192,RC Celta
match192,Valencia CF
match193,SD Huesca
match193,Atlético de Madrid
match194,Real Madrid
match194,Sevilla FC
match195,FC Barcelona
match195,CD Leganés
match196,Real Betis
match196,Girona FC
match197,Levante UD
match197,R. Valladolid CF
match198,Rayo Vallecano
match198,Real Sociedad
match199,Villarreal CF
match199,Athletic Club
match200,SD Eibar
match200,RCD Espanyol
match201,Atlético de Madrid
match201,Getafe CF
match202,CD Leganés
match202,SD Eibar
match203,Sevilla FC
match203,Levante UD
match204,Valencia CF
match204,Villarreal CF
match205,Athletic Club
match205,Real Betis
match206,RCD Espanyol
match206,Real Madrid
match207,Girona FC
match207,FC Barcelona
match208,Real Sociedad
match208,SD Huesca
match209,R. Valladolid CF
match209,RC Celta
match210,D. Alavés
match210,Rayo Vallecano
match211,SD Huesca
match211,R. Valladolid CF
match212,FC Barcelona
match212,Valencia CF
match213,RC Celta
match213,Sevilla FC
match214,Levante UD
match214,Getafe CF
match215,Real Sociedad
match215,Athletic Club
match216,Real Betis
match216,Atlético de Madrid
match217,SD Eibar
match217,Girona FC
match218,Real Madrid
match218,D. Alavés
match219,Villarreal CF
match219,RCD Espanyol
match220,Rayo Vallecano
match220,CD Leganés
match221,R. Valladolid CF
match221,Villarreal CF
match222,Atlético de Madrid
match222,Real Madrid
match223,RCD Espanyol
match223,Rayo Vallecano
match224,Getafe CF
match224,RC Celta
match225,Girona FC
