id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal528,25,FALSE,FALSE,match206,Léo Baptistão
goal529,81,FALSE,FALSE,match206,Roberto Rosales
goal530,4,FALSE,FALSE,match206,Karim Benzema
goal531,46,FALSE,FALSE,match206,Karim Benzema
goal532,15,FALSE,FALSE,match206,Sergio Ramos
goal533,67,FALSE,FALSE,match206,Gareth Bale
goal534,9,FALSE,FALSE,match207,Nélson Semedo
goal535,68,FALSE,FALSE,match207,Lionel Messi
goal536,55,FALSE,FALSE,match209,Óscar Plano
goal537,69,FALSE,FALSE,match209,Keko Gontán
goal538,16,FALSE,FALSE,match209,Pione Sisto
goal539,47,FALSE,FALSE,match210,Raúl de Tomás
goal540,19,FALSE,FALSE,match211,Enric Gallego
goal541,50,FALSE,FALSE,match211,Jorge Pulido
goal542,53,FALSE,FALSE,match211,Moi Gómez
goal543,77,FALSE,FALSE,match211,Ezequiel Chimy Ávila
goal544,39,TRUE,FALSE,match212,Lionel Messi
goal545,64,FALSE,FALSE,match212,Lionel Messi
goal546,24,FALSE,FALSE,match212,Kevin Gameiro
goal547,32,TRUE,FALSE,match212,Daniel Parejo
goal548,73,FALSE,FALSE,match213,Okay Yokuslu
goal549,16,FALSE,FALSE,match215,Mikel Oyarzabal
goal550,45,FALSE,FALSE,match215,Willian José
goal551,82,FALSE,FALSE,match215,Raúl García Escudero
goal552,65,TRUE,FALSE,match216,Sergio Canales
goal553,37,FALSE,FALSE,match217,Rubén Peña Jiménez
goal554,46,FALSE,FALSE,match217,Charles Días Barbosa
goal555,57,TRUE,FALSE,match217,Charles Días Barbosa
goal556,30,FALSE,FALSE,match218,Karim Benzema
goal557,80,FALSE,FALSE,match218,Vinícius Júnior
goal558,91,FALSE,FALSE,match218,Mariano Díaz Mejía
goal559,37,FALSE,FALSE,match219,Vicente Iborra de la Fuente
goal560,65,TRUE,FALSE,match219,Santi Cazorla
goal561,75,FALSE,TRUE,match219,Daniele Bonera
goal562,81,FALSE,FALSE,match219,Roberto Rosales
goal563,83,FALSE,FALSE,match220,Álvaro García Rivera
goal564,36,FALSE,FALSE,match220,Martin Braithwaite
goal565,85,FALSE,FALSE,match220,Youssef En-Nesyri
goal566,25,FALSE,FALSE,match222,Antoine Griezmann
goal567,16,FALSE,FALSE,match222,Carlos Casemiro
goal568,42,TRUE,FALSE,match222,Sergio Ramos
goal569,74,FALSE,FALSE,match222,Gareth Bale
goal570,72,TRUE,FALSE,match223,Borja Iglesias
goal571,95,FALSE,FALSE,match223,Sergi Darder
goal572,33,FALSE,FALSE,match223,Abdoulaye Ba
goal573,39,TRUE,FALSE,match224,Jaime Mata
goal574,81,FALSE,FALSE,match224,Jaime Mata
goal575,62,FALSE,FALSE,match224,Jorge Molina Vidal
goal576,2,FALSE,FALSE,match224,Néstor Araujo
goal577,35,FALSE,FALSE,match225,Ezequiel Chimy Ávila
goal578,40,FALSE,FALSE,match225,Ezequiel Chimy Ávila
goal579,22,FALSE,FALSE,match227,Youssef En-Nesyri
goal580,36,FALSE,FALSE,match227,Youssef En-Nesyri
goal581,66,FALSE,FALSE,match227,Youssef En-Nesyri
goal582,88,FALSE,FALSE,match228,Wissam Ben Yedder
goal583,92,FALSE,FALSE,match228,Pablo Sarabia
goal584,22,FALSE,FALSE,match228,Fabián Orellana
goal585,63,FALSE,FALSE,match228,Charles Días Barbosa
goal586,23,FALSE,FALSE,match230,Víctor Laguardia Cisneros
goal587,93,FALSE,FALSE,match230,Jony Rodríguez
goal588,67,TRUE,FALSE,match231,Charles Días Barbosa
goal589,80,FALSE,FALSE,match231,Charles Días Barbosa
goal590,37,FALSE,FALSE,match231,Jaime Mata
goal591,52,FALSE,FALSE,match231,Dimitri Foulquier
goal592,43,TRUE,FALSE,match232,Lionel Messi
goal593,88,TRUE,FALSE,match233,Brais Méndez
goal594,20,FALSE,FALSE,match233,José Luis Morales Nogales
goal595,62,FALSE,FALSE,match233,José Luis Morales Nogales
goal596,40,FALSE,FALSE,match233,Koke Andújar
goal597,89,FALSE,FALSE,match233,Borja Mayoral
goal598,50,FALSE,FALSE,match234,Mikel Oyarzabal
goal599,59,FALSE,FALSE,match234,Mikel Oyarzabal
goal600,75,FALSE,FALSE,match234,Willian José
